"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","IUM","preciocompra","precioventa"
"4098","CEBION®500MG TABLETAS MASTICABLES","PROCTER & GAMBLE COLOMBIA LTDA","INVIMA 2016M- 0007923-R3","1995-08-11",,"Vigente","4098","1","30","CAJA DISPENSADORA POR 30 TABLETAS EN TIRAS DE PAPEL POUCH/POLIETILENO/ALUMINIO POLIETILENO (FOIL) POR 10 TABLETAS","Activo","2006-11-10",,"No","U","A11GA01","ACIDO ASCORBICO (VIT C)","ORAL","A","ACIDO ASCORBICO 260MG +ASCORBATO DE SODIO 290MGEQUIVALENTES A VITAMINA C","No","500","TABLETA MASTICABLE","TABLETA MASTICABLE","ALTEA FARMACEUTICA S.A.","FABRICANTE","FABRICAR Y VENDER",,"1274","2653"
"16478","OMEPRAZOL 20 MG","GENFAR S.A","INVIMA 2020M-007243-R2","1999-01-01",,"Vigente","16478","1","10","CAJA X 10 CAPSULAS EN BLISTER ALUMINIO/ PVC- PVDCSIN DATOPOR 10 CAPSULAS CADA BLISTER..","Activo","2006-11-10",,"No","U","A02BC01","OMEPRAZOL","ORAL","A","OMEPRAZOL PELLETS 8.5% (EQUIVALENTE ADE OMEPRAZOL BASE)","No","20","CAPSULA","CAPSULA DURA","FAREVA VILLA RICA S.A.S.","FABRICANTE","IMPORTAR. SEMIELABORAR Y VENDER",,"1325","2827"
"21013","FYBOGEL® GRANULOS","RB (HEALTH) COLOMBIA S.A.S","INVIMA 2016M-006811-R3","1999-01-01",,"Vigente","21013","1","6","CAJA PLEGADIZA CON 6SIN DATOFOIL DE ALUMINIO (SACHET INDIVIDUAL) POR 3.5G DE ISPAGHULA HUSK CADA UNO.","Activo","2006-11-10",,"No","U","A06AC01","ISPAGULA (PSYLLA SEMILLAS)","ORAL","E","ISPAGHULA HUSK","No","79.618","100 GRAMOS","GRANULOS","RB (HEALTH) COLOMBIA S.A.S","IMPORTADOR","IMPORTAR Y VENDER",,"5106","11346"
"21740","VITAMINA C GOTAS 100MG/ML","LABORATORIOS ECAR S.A.","INVIMA 2020M-007156-R3","1999-01-01",,"Vigente","21740","2","50","CAJA PLEGADIZA X FRASCO DE VIDRIO AMBAR POR 50 ML. CON GOTERO DE PLASTICO","Activo","2006-11-10",,"No","ml","A11GA01","ACIDO ASCORBICO (VIT C)","ORAL","B","ACIDO ASCORBICO 76.1 MG + ASCORBATO DE SODIO 35.0 MGEQUIVALENTES A VITAMINA C","No","100","ML.(20 GOTAS APROX.)","SOLUCION ORAL","LABORATORIOS ECAR S.A.","FABRICANTE","FABRICAR Y VENDER",,"4391","9271"
"13358","VENOFER INYECTABLE.","VIFOR INTERNATIONAL INC","INVIMA 2018M-006989-R2","1999-01-01",,"Vigente","13358","2","5","AMPOLLA DE VIDRIO TIPO I. INCOLORA DE 5 ML. EN CAJA POR 1 AMPOLLA EN BLISTER PLASTICO.","Activo","2006-11-10",,"No","ml","B03AC02","HIERRO OXIDO SACARATADO","INTRAVENOSA","A","HIERRO COMO (HIERRO SACARATO (HIERRO III-COMPLEJO DE HIDROXIDO SUCROSA)","No","100","AMPOLLA DE 5 ML","SOLUCION INYECTABLE","FARMA DE COLOMBIA S.A.S.","IMPORTADOR","IMPORTAR Y VENDER",,"13355","31161"
"23282","DIANEAL PD- 2 CON DEXTROSAAL 2.5%","LABORATORIOS BAXTER S.A.","IINVIMA 2023M-007582-R4","1996-12-17","3000-01-01","Vigente","23282","1","250","BOLSAS PLÁSTICAS PVC GRADO MÉDICO X 250ML. CON BOLSA EXTERNA EN PEAD.","Activo","2006-11-10","2023-09-14","No","ml","B05DA99","SOLUCIONES ISOTONICAS","INTRAPERITONEAL","B","CLORURO DE CALCIO DIHIDRATADO","No","25.7","100ML","SOLUCION ESTERIL PARA DIÁLISIS PERITONEAL","LABORATORIOS BAXTER S.A.","FABRICANTE","FABRICAR Y VENDER",,"3880","8191"
"25653","HERREX ® JARABE","FARMA DE COLOMBIA S.A.S.","INVIMA 2020M-009945-R3","1999-01-01",,"Vigente","25653","1","1","FRASCO DE VIDRIO COLOR AMBAR TAPA PILFER PROF POR 30 ML EN CAJA CARTULINA PVC","Activo","2006-11-10",,"No","U","B03AB04","FERRICO HIDROXIDO","ORAL","B","COMPLEJO NO IONICO DEHIDROXIDO FERRICO POLIMALTOSADO (AMYLOFER 25%) EQUIVALENTE A HIERRO III","No","1","100 ML DE JARABE","JARABE","ALTEA FARMACEUTICA S.A.","FABRICANTE","FABRICAR Y VENDER",,"7619","17620"
"32623","ACIDO FOLICO TABLETAS 5MG","LABORATORIOS ECAR S.A.","INVIMA 2008 M-010389 R2","1999-01-01",,"Vigente","32623","6","10","CAJA PLEGADIZA POR 10 TABLETAS EN BLISTER PVC/ALUMINIO POR 10 TABLETAS","Activo","2008-09-09",,"No","U","B03BB01","FOLICO ACIDO","ORAL","A","ACIDO FOLICO","No","0.005","TABLETA CONTIENE","TABLETA","LABORATORIOS ECAR S.A.","FABRICANTE","FABRICAR Y VENDER",,"1029","2143"
"9813","HIDROCLOROTIAZIDA 25 MG TABLETAS","MEMPHIS PRODUCTS S.A.","INVIMA 2016M-002326-R2","1995-07-14",,"Vigente","9813","3","10","CAJA POR 10 TABLETAS EN BLISTER PVC TRANSPARENTE / ALUMINIO POR 10 TABLETAS.","Activo","2006-11-10",,"No","U","C03AA03","HIDROCLOROTIAZIDA","ORAL","A","HIDROCLOROTIAZIDA","No","25","TABLETA","TABLETA","COLOMPACK S.A.","FABRICANTE","FABRICAR Y VENDER",,"1220","2542"
"20526","PROCICAR® CREMA","MEGALABS COLOMBIA S.A.S","INVIMA 2019M-009074-R3","1999-01-01",,"Vigente","20526","2","30","TUBO COLAPSIBLE X 30 G TAPA CON LINNER DESIN DATODOS CAPAS:POLIETILENO/ AL ADHERIDO A LA TAPA DEL TUBO","Activo","2006-11-10",,"No","g","C05AX04","ZINC PREPARACIONES","TOPICA (EXTERNA)","D","CALAMINA (OXIDO DE ZINC: 5G + ARIABEL SIENNA: 0.02G)","No","5","100 G","CREMA TOPICA","ALTEA FARMACEUTICA S.A.","FABRICANTE","FABRICAR Y VENDER",,"7265","16766"
"26775","VASOTON GEL.","FARMACOL CHINOIN S.A.S..","INVIMA 2008 M-011596 R1","1998-09-08","3000-12-31","Vigente","26775","1","40","CAJA POR UN TUBO COLAPSIBLE DE PEBD CON TAPA DE PP POR 40 G","Activo","2006-11-10",,"No","g","C05BA51","HEPARINOIDE COMBINACIONES","TOPICA (EXTERNA)","D","AESCINA","No","1","100 G","GEL TOPICO","FARMACOL CHINOIN S.A.S..","FABRICANTE","FABRICAR Y VENDER",,"7531","17415"
"27612","PROSTIN VR PEDIÁTRICO SOLUCIÓN INYECTABLE","PFIZER S.A.S.","INVIMA 2019M-009439-R3","1997-04-17",,"Vigente","27612","1","5","CAJA DE CARTON CON 5 AMPOLLETAS DE 1 ML.","Activo","2006-11-10",,"No","ml","C01EA01","ALPROSTADIL","INTRAVENOSA","A","ALPROSTADIL","No","0.5","AMPOLLA DE 1 ML","SOLUCION INYECTABLE","PFIZER MANUFACTURING BELGIUM NV","FABRICANTE","IMPORTAR Y VENDER",,"11772","27467"
"7028","BIODERM® CREMA","LABORATORIOS SIEGFRIED S.A.S.","INVIMA 2023M-005385-R3","1999-01-01",,"Vigente","7028","2","20","CAJA CON TUBO COLAPSIBLE DE ALUMINIO CON RECUBRIMIENTO INTERIOR DE RESINA EPOXIFENOLICA POR 20G","Activo","2006-11-10",,"No","g","D07CB04","DEXAMETASONA Y ANTIBIOTICOS","TOPICA (EXTERNA)","D","DEXAMETASONA","No","0.04","100 G DE CREMA","CREMA TOPICA","LABORATORIOS SIEGFRIED S.A.S.","FABRICANTE","FABRICAR Y VENDER",,"7392","17060"
"19547","UNGÜENTO MENTOL NO. 2®","TECNOFAR TQ S.A.S","INVIMA 2022M-006295-R4","1994-06-08","3000-01-01","Vigente","19547","1","50","POTE PLÁSTICO DE POLIPROPILENO CON TAPA DE POLIPROPILENO POR 50 G.","Activo","2006-11-10",,"No","g","D11AX97","MENTOL. ALCANFOR. SALICILATO DE METILO","TOPICA (EXTERNA)","D","ALCANFOR SINTÉTICO","No","3","100 G DE UNGÜENTO","UNGUENTO TOPICO","TECNOFAR TQ S.A.S","FABRICANTE","FABRICAR Y VENDER",,"5296","9003"
"24342","MERTHIOLATE INCOLORO (TINTURA)","TECNOFAR TQ S.A.S","INVIMA 2021M-007872-R4","1995-08-17",,"Vigente","24342","4","90","FRASCO POR 90 ML. EN FRASCO DE POLIETILENO DE ALTA DENSIDAD PIGMENTADO BLANCO","Activo","2006-11-10",,"No","ml","D08AK06","TIOMERSAL","TOPICA (EXTERNA)","B","THIMEROSAL","No","0.1","100 ML.","SOLUCION TOPICA","TECNOFAR TQ S.A.S","FABRICANTE","FABRICAR Y VENDER",,"4306","9091"
"28014","CONDILOM SUSPENSION","LABORATORIOS BUSSIÉ S.A.","INVIMA 2009 M-000476-R3","1998-04-02",,"Vigente","28014","1","5","FRASCO PLASTICO PEAD POR 5 ML EN CAJA PLEGADIZA","Activo","2006-11-10",,"No","ml","D06BB04","PODOFILOTOXINA","TOPICA (EXTERNA)","B","PODOFILINA HEXANDRUM","No","20","100 ML DE SUSPENSION","SUSPENSION TOPICA","LABORATORIOS BUSSIE S.A.","FABRICANTE","FABRICAR Y VENDER",,"9711","22488"
